наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Цвет
682 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Средняя, Ручки: Средние, Форма жесткости: Мягкая, Количество отделений: 2; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Формат А4. Два отделения на молнии. Внутри: вместительный карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 34; высота-27; глубина-9.";1 190 р.;13;https://olivi.su/catalog/zhenskie_sumki/682_sumka_zhenskaya_1/;https://olivi.su/upload/iblock/03f/03f3f393c271b065dd3d12a5b8b07cd1.jpg https://olivi.su/upload/iblock/216/21688cbfc53fecc2fd3ce10d43595afb.jpg https://olivi.su/upload/iblock/c70/c70d3e8d2532c5b9e12615ccd36afda8.jpg https://olivi.su/upload/iblock/549/54992af3fefba53fc121620ed2248c0c.jpg https://olivi.su/upload/iblock/ec8/ec84adff610d9f9a5130f8634b64d74c.jpg https://olivi.su/upload/iblock/dbf/dbf42dccd974dcae441ad4d361a87e56.jpg https://olivi.su/upload/iblock/517/5178cfc9a88fa0cc71f55115b6cbd3dc.jpg ;"кор.;сер.;чер."
681 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Большая, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 2; Сумка женская Оливи, жесткая на двух ручках и регулируемом ручкоремне. Два отделения на молнии. Задняя стенка: карман на молнии.Внутри: открытый карман, карман для мобильного телефона и вместительный карман-перегородка для документов формата А5. Габариты: ширина- 30; высота- 22,5; глубина- 12.";1 380 р.;13;https://olivi.su/catalog/zhenskie_sumki/681_sumka_zhenskaya/;https://olivi.su/upload/iblock/222/222dd975fc2c57f0aef72a3907ce98cd.jpg https://olivi.su/upload/iblock/69b/69ba34343be060ea05b06bd5c6c15c6b.jpg https://olivi.su/upload/iblock/192/1927d9c7daeaff7906906dfffc40ae00.jpg https://olivi.su/upload/iblock/c92/c92f1e14d6bb27f81e4742339d93904b.jpg https://olivi.su/upload/iblock/31a/31a4c3fde924e143db1e787a93b9cecf.jpg https://olivi.su/upload/iblock/2b5/2b5e3d7c566e94dc3169cfc47ccc01cb.jpg https://olivi.su/upload/iblock/9d8/9d8ffab92268fb8e1a64dc6e60aaaf58.jpg https://olivi.su/upload/iblock/01e/01e739d318bafe444d3a2594b64e2ce0.jpg https://olivi.su/upload/iblock/ecf/ecf00875c7bbfd105c318e69e66ddd02.jpg https://olivi.su/upload/iblock/900/9003892fa44c00817da93c2d0810b812.jpg https://olivi.su/upload/iblock/c01/c01f0d7acffa569261c18b0c01bbf5c1.jpg https://olivi.su/upload/iblock/525/525c7d0cb2ac5b2aa7665454158b3aaa.jpg ;"бордо;зелен.;кор.;чер."
680 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Полужесткая, Количество отделений: 1; Сумка женская Оливи, полужесткая на двух ручках и регулируемом ручкоремне. Формат А4. Одно отделение на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии, карман для мобильного телефона и вместительный карман-перегородка для документов формата А5. Габариты: ширина- 31; высота- 25; глубина- 13.";1 490 р.;13;https://olivi.su/catalog/zhenskie_sumki/680_sumka_zhenskaya/;https://olivi.su/upload/iblock/3ef/3ef492cd2488b40fd7298adfa2e0b90c.jpg https://olivi.su/upload/iblock/333/33354dd942e9904591c7fead63cfeed4.jpg https://olivi.su/upload/iblock/adb/adb68d3593e8b85844f8d5e999b173d5.jpg https://olivi.su/upload/iblock/638/638297510d8946a8def79457c5ffbbb5.jpg https://olivi.su/upload/iblock/2be/2be83c611759761a7e5d3bcb5d87bc02.jpg https://olivi.su/upload/iblock/acf/acfd2af220a4597c07dbfe0dce184301.jpg https://olivi.su/upload/iblock/675/675a39196761697484c66e9f88f21799.jpg https://olivi.su/upload/iblock/3f7/3f7de7a78ec8b3d1217ce012775e7acf.jpg https://olivi.su/upload/iblock/25c/25c5bb4ff221ed8fe052bd4caa2b112b.jpg https://olivi.su/upload/iblock/78b/78b960d9eb0973af91fb87cc9bb5553f.jpg https://olivi.su/upload/iblock/afe/afe0a24597bd7d3d8e8bfcd30bc5f796.jpg https://olivi.su/upload/iblock/e6a/e6a56b38809292beb81a30fe516e73ea.jpg https://olivi.su/upload/iblock/d7d/d7d3bf0fdba4591c8ab747ecb761ce25.jpg https://olivi.su/upload/iblock/863/86387599ee3781ccad96baa290715c29.jpg https://olivi.su/upload/iblock/662/662cb3189891af0f55d3a0043d598e77.jpg https://olivi.su/upload/iblock/13b/13b6ce37f58a75a7c0ea9c97d771e818.jpg ;"бордо;кор.;сер.зелен.;чер."
679 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках и регулируемом ручкоремне. Формат А4. Одно отделение на молнии. На передней стенке вместительный карман на молнии  для документов формата А5 и два дополнительных кармана для мелочей. Задняя стенка: карман на молнии. Внутри: карман на молнии, открытый карман, карман для мобильного телефона. Габариты: ширина- 35; высота- 25,5; глубина- 9.";1 200 р.;13;https://olivi.su/catalog/zhenskie_sumki/679_sumka_zhenskaya_1/;https://olivi.su/upload/iblock/e59/e591c0b127d4d0cb09bd3c4709f1ebaf.jpg https://olivi.su/upload/iblock/eba/ebadae084354f0d5d4454b7a891a66b3.jpg https://olivi.su/upload/iblock/446/44678403b9b95868717537ef3d42c356.jpg https://olivi.su/upload/iblock/6ed/6ed6d0644827b56b7c750e7ab131c0fd.jpg https://olivi.su/upload/iblock/563/5636731fe1024d8742635a5be4639839.jpg https://olivi.su/upload/iblock/5db/5db91cda060bdcf7c91c65ccfdaddc35.jpg https://olivi.su/upload/iblock/960/960870401234d3ec22ad8fce5bd2956f.jpg ;"сер.;син.джинс;чер."
678 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 2; Сумка женская Оливи, жесткая на двух ручках и регулируемом ручкоремне. Два отделения на молнии. Задняя стенка: карман на молнии. Внутри: карман на молнии,открытый карман, карман для мобильного телефона и вместительный карман-перегородка для документов. Габариты: ширина- 32; высота- 22; глубина- 14.";1 220 р.;13;https://olivi.su/catalog/zhenskie_sumki/678_sumka_zhenskaya/;https://olivi.su/upload/iblock/eee/eee3209d8089507211708884c5f3208e.jpg https://olivi.su/upload/iblock/093/0932417e8be9344fc0afae58fff51253.jpg https://olivi.su/upload/iblock/c5e/c5ee4b05c69b70037d626de431b52e7b.jpg https://olivi.su/upload/iblock/c99/c9919325a3ded0273c7f2efd803bceae.jpg https://olivi.su/upload/iblock/d28/d28acbb2470cc76983eb31e80666d5c6.jpg https://olivi.su/upload/iblock/78c/78c931dca6b061668d08dd1be1620000.jpg https://olivi.su/upload/iblock/aa5/aa5ac716a53cb32ff6ec1224a74e85ea.jpg https://olivi.su/upload/iblock/581/581749e2423ba29c7234434908833f69.jpg https://olivi.su/upload/iblock/927/927e3d20a118fd51ca6c2dd9e8bc4edd.jpg https://olivi.su/upload/iblock/a37/a377b573f6103a3faa79b61e01df0018.jpg https://olivi.su/upload/iblock/23c/23ce4fe160c9651a18b47306f5de691a.jpg https://olivi.su/upload/iblock/2b4/2b472fb0b05ed7c39bf6f2465a4a370f.jpg https://olivi.su/upload/iblock/7d9/7d97df8b0117253ed9f636911ceec816.jpg ;"бордо;кор.свет./шок.;кор.свет.;шок.;сер.;чер."
677 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Короткие, Форма жесткости: Жесткая, Количество отделений: 2; Сумка женская Оливи, жесткая на одной ручке и регулируемом ручкоремне. Два отделения на молнии с клапаном. Задняя стенка: карман на молнии. Внутри: карман на молнии, карман для мобильного телефона. Габариты: ширина- 30; высота-19; глубина-11.";1 200 р.;13;https://olivi.su/catalog/zhenskie_sumki/677_sumka_zhenskaya/;https://olivi.su/upload/iblock/d12/d12b0a59e55ec4dfaaa45779de58190d.jpg https://olivi.su/upload/iblock/5c5/5c54fb09d22b70265b6af0b21d0ab9d6.jpg https://olivi.su/upload/iblock/a2a/a2a42940c5ce06be05bff2bb2965deb9.jpg https://olivi.su/upload/iblock/fd4/fd4a6cb357a90072f50eb5c4b3a1787a.jpg https://olivi.su/upload/iblock/905/90546fc5926e676f47d991974cab1ec1.jpg https://olivi.su/upload/iblock/90f/90f8e9844f8afa39893923839ce6d2be.jpg https://olivi.su/upload/iblock/cd9/cd90f9f1d3a9bef04859e46dce0b06e4.jpg https://olivi.su/upload/iblock/48a/48a427cd3a4f3b8fffd7046eee245b8e.jpg ;"кор.крек;шок.;син.;чер."
676 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Регулируемые, Форма жесткости: Мягкая, Количество отделений: 3; Сумка женская Оливи, мягкая на одной регулируемой ручке. Три отделения: одно на молнии, два на магнитной кнопке. Задняя стенка: карман на молнии. Внутри: карман для мобильного телефона и карман на молнии. Габариты: ширина- 27; высота-28; глубина-15.";1 190 р.;13;https://olivi.su/catalog/zhenskie_sumki/676_sumka_zhenskaya/;https://olivi.su/upload/iblock/cda/cdac4ee2ae7f5e9c91edafbf810a12bc.jpg https://olivi.su/upload/iblock/3b2/3b2edaf3bd446bfa626d9a2b0ab2e707.jpg https://olivi.su/upload/iblock/d69/d693881f9b1cdd2a4073bce775b9d6a2.jpg https://olivi.su/upload/iblock/bb6/bb63c4c8ab52bb81a9abbf7199089081.jpg https://olivi.su/upload/iblock/2b9/2b95f3fcb9d4a25ff9411247164dca31.jpg https://olivi.su/upload/iblock/475/475a0ad95a4f68bced33110338867dde.jpg https://olivi.su/upload/iblock/735/73541580807d5efb00471096c6e441c3.jpg https://olivi.su/upload/iblock/16a/16a7eaeabc328efdf487f4e57eda5d0f.jpg https://olivi.su/upload/iblock/2ef/2ef4a3c43d97cc749741ad7dcb34b1d1.jpg https://olivi.su/upload/iblock/1b4/1b4dabb86ec0770653635455995ed03e.jpg ;"кор.;красн.;сер.тем.;син.;чер."
674 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Размер: Средняя, Ручки: Длинные и короткие, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух средних ручках и одной длинной. Одно отделение на молнии. Внутри: карман на молнии, карман для мобильного телефона и открытый карман. Габариты: ширина- 31; высота-25; глубина-7.";1 210 р.;13;https://olivi.su/catalog/zhenskie_sumki/674_sumka_zhenskaya/;https://olivi.su/upload/iblock/d60/d60138e4b745f3562b48047a6bfa7ea7.jpg https://olivi.su/upload/iblock/739/7393a12e2f7d020773ab082f1f0d1ef9.jpg https://olivi.su/upload/iblock/8fd/8fd0024635397a1cc679224ad5ef3bba.jpg https://olivi.su/upload/iblock/524/524b04d1dc1341b516e3742ff31b9d77.jpg https://olivi.su/upload/iblock/db3/db3a1e40793c17d9b1be7996418a2d11.jpg https://olivi.su/upload/iblock/bd5/bd5e135ef5a26fa9a3eac5c62bba0944.jpg https://olivi.su/upload/iblock/d23/d231aac51dcb8e6cc5860c0bd8156dde.jpg https://olivi.su/upload/iblock/cbd/cbdcf5c47675a7e8d101fa48728b1291.jpg https://olivi.su/upload/iblock/a48/a48697c518a190f17589e9a622cf40e9.jpg https://olivi.su/upload/iblock/d34/d34fc740c10d00f50e77c0126e0c8829.jpg ;"кор.;кор.свет.;красн.;серебр.;чер."
673 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Длинные, Форма жесткости: Мягкая, Количество отделений: 1; Сумка женская Оливи, мягкая на двух ручках. Формат А4. Одно отделения на молнии. Задняя стенка:карман на молнии. На передней стенке два кармана на молнии. Внутри: вместительный карман-перегородка, карман для мобильного телефона и карман на молнии. Габариты: ширина- 33; высота-29; глубина-13.";1 080 р.;13;https://olivi.su/catalog/zhenskie_sumki/673_sumka_zhenskaya/;https://olivi.su/upload/iblock/446/446612a59276630dcd9dec53ef3f1f99.jpg https://olivi.su/upload/iblock/abb/abb5a50a736811b48fe7d2df028b9fbb.jpg https://olivi.su/upload/iblock/0c7/0c7ee94bb07fd20725db1f01933da052.jpg https://olivi.su/upload/iblock/453/453500a6cb62870f275a23fa55cbdcc3.jpg https://olivi.su/upload/iblock/c38/c382a1018e1612fe4f2e0a188430c6e4.jpg https://olivi.su/upload/iblock/436/4364cc570215e8f5b1f3d15dab345f41.jpg https://olivi.su/upload/iblock/234/23460e1a0027f07326b1881859bc56fb.jpg https://olivi.su/upload/iblock/080/080a906bedd3ac8836b8248bfec98ec8.jpg https://olivi.su/upload/iblock/4af/4af351978bb222dc6543caa28007fe35.jpg https://olivi.su/upload/iblock/76d/76d7895cc570691a383935299c61bc15.jpg ;"беж.тем./борд.;кор.рогожка;сер./чер.;син.тем.рогожка;чер."
672 Сумка женская;"Материал изделия: Экокожа, Материал подкладки: Текстиль; Формат А4: Да, Размер: Большая, Ручки: Длинные, Форма жесткости: Мягкая, Количество отделений: 2; Сумка женская Оливи, мягкая на двух ручках. Формат А4. Два отделения на молнии. Внутри: вместительный карман-перегородка для документов формата А4 на молнии, карман для мобильного телефона и карман на молнии. Габариты: ширина- 30; высота-31; глубина-12.";1 160 р.;13;https://olivi.su/catalog/zhenskie_sumki/672_sumka_zhenskaya/;https://olivi.su/upload/iblock/56f/56f8985000ac51469db900093dd8d34c.jpg https://olivi.su/upload/iblock/464/4643863b3204a78b16597a5c668a8839.jpg https://olivi.su/upload/iblock/f61/f61e0844df4c95a9597ed5cbc430f7a8.jpg https://olivi.su/upload/iblock/713/7130501b8f244ed17e50dd9c8c7821e6.jpg https://olivi.su/upload/iblock/499/4992cd19f5608e74b43c96496beb87c5.jpg https://olivi.su/upload/iblock/f32/f3261b3ce6cc268ea52edac28fd2dd1a.jpg https://olivi.su/upload/iblock/92d/92d7c7c3e4a9446ba36b5547b700acb0.jpg https://olivi.su/upload/iblock/e9e/e9e5b91ed25bf2537017f821ef66a326.jpg https://olivi.su/upload/iblock/57d/57dc2ec49dbdaa15eaf6d3bb420b0e39.jpg https://olivi.su/upload/iblock/e28/e28dd091ba31ea96cc09bcdae7e5b87f.jpg https://olivi.su/upload/iblock/8c1/8c1d663fd6f2e85d3aecbfad41768215.jpg https://olivi.su/upload/iblock/342/342b0d6aa136e13b07a33404efc84c92.jpg ;"борд./лаванд.;кор.свет.;шок./замш.;сер.тем./замш.;чер./сер.замш.;чер./сер.кор."
