наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото
Набор шоколадных конфет КРАСНОЯРСКИЕ СЮЖЕТЫ с изображением Царь-рыбы 180гр;"СОСТАВ: шоколадная глазурь (сахар, какао тертое, эквивалент масла какао (растительные негидрогенизированные масла: пальмовое, ши, иллипе), какао-порошок,  эмульгатор — лецитин соевый, ароматизатор пищевой  «Ванилин»),  полуфабрикат кондитерский — начинка (сахар, рафинированные дезодорированные масла: пальмовое, ши, иллипе;  молоко сухое обезжиренное, регулятор кислотности-кислота лимонная, эмульгатор — лецитин соевый, антиокислители-смесь токоферолов, аскорбиновая кислота; ароматизатор пищевой  «Ванильно-сливочный»), ядро ореха фундука жареное, какао-порошок, какао-тертое, ядро ореха фундука жареное дробленое,  вафли молотые (мука пшеничная, масло растительное, соль поваренная пищевая, разрыхлитель-гидрокарбонат натрия,  эмульгатор — лецитин соевый), рафинированные дезодорированные растительные масла (пальмовое, рапсовое, соевое), эмульгатор-лецитин соевый, ароматизатор пищевой ""Ванильно-сливочный"".ПИЩЕВАЯ ЦЕННОСТЬ 100 Г:  белки — 7 г; жиры  - 39 г; углеводы  - 45  г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г:  560  ккал/ 2 340 кДжГОСТ ГОСТ 4570, ТР/ТС 021/2011       Хранить в сухом прохладном месте при температуре воздуха (18±3)С и относительной влажности воздуха не более 75%,  избегать попадания  прямых солнечных лучей.";143.82 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848727;https://24-ok.ru/images/lots/2018_lots/04/16/03/22/158180/4f099a548eefd99fd255a7d50bcc5179.jpeg
Шоколад КРАСКОНОВСКИЙ молочный (Универсиада);"СОСТАВ: сахар, какао-масло, молоко сухое цельное, какао тертое, сыворотка сухая молочная, молочный жир, эмульгатор-лецитин соевый, ароматизатор натуральный «Ваниль», ароматизатор пищевой «Тоффи ванильно-сливочный». Массовая доля общего содержания сухого остатка какао 31,0% (±1,5%), сухой обезжиренный остаток какао не менее 5,6%, массовая доля сухих веществ молока 15,0% (±1,0%), молочного жира 5,6% (±0,5%), массовая доля насыщенных жирных кислот 18,5% и трансизомеров ненасыщенных жирных кислот 0,24 %. ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ –  6,0 г; ЖИРЫ – 32,0 г; УГЛЕВОДЫ – 58,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 540 ККАЛ/ 2260 кДжГОСТ 31721УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре от 5° С  до 22°С и относительной влажности воздуха не более 70%, избегать попадания  прямых солнечных лучей";56.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848726;https://24-ok.ru/images/lots/2018_lots/04/16/03/20/158180/b204361544642b28e4fd422794aa2d44.jpeg
Шоколад КРАСКОНОВСКИЙ тёмный (медали) Универсиада;"СОСТАВ: сахар, какао тертое, какао-масло, эмульгатор-лецитин; ароматизатор пищевой «Ванилин». Массовая доля общего содержания сухого остатка какао 49,5% (±2,0%), массовая доля масла какао 30,1% (±1,5%), массовая доля насыщенных жирных кислот 16,6% и трансизомеров ненасыщенных жирных кислот до 0,15 %ПИЩЕВАЯ ЦЕННОСТЬ 100 Г: БЕЛКИ –  6,0 г; ЖИРЫ – 30,0 г; УГЛЕВОДЫ – 57,0 г.ЭНЕРГЕТИЧЕСКАЯ ЦЕННОСТЬ 100 Г: 520 ККАЛ/ 2180 кДжГОСТ 31721, ТР ТС 021/2011УСЛОВИЯ ХРАНЕНИЯ: хранить при температуре от 5° С  до 22°С и относительной влажности воздуха не более 70%, избегать попадания  прямых солнечных лучей.";56.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848725;https://24-ok.ru/images/lots/2018_lots/04/16/03/18/158180/1f80883c3bcc3293cf3e553f1295ecc7.jpeg
Шоколадный батончик КРАСКОНОВСКИЙ со сливочной начинкой;;20.61 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848724;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/59c392416978abd68be25bdd8c28fc59.jpg
Шоколадный батончик КРАСКОНОВСКИЙ с шоколадной начинкой;;20.61 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848723;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/5afaaac40b0a759fe4b9bc7ceb67d6ac.jpg
Шоколадный батончик КРАСКОНОВСКИЙ с помадно-молочной начинкой;;20.61 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848722;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/6e4db257b61ea041461a8ab69fbf65eb.jpg
Шоколад РАДОСТЬ В ЛАДОШКЕ (Красноярск);;71.20 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848721;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/ae9d4f89678c28b895b40230d7e7c14d.jpg
Шоколад КРАСКОНОВСКИЙ тёмный 100 г Виды города;;57.34 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848720;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/0726d8a5bc2903063e073103e538d7e2.jpg
Шоколад КРАСКОНОВСКИЙ тёмный 100 г (с часовней);;57.34 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848719;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/1d0d7710fc68e0c22bf93a14f5d115a7.jpg
Шоколад КРАСКОНОВСКИЙ тёмный 100  Г;;57.34 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637996&lot_id=327848718;https://24-ok.ru/images/lots/2016_lots/04/05/10/56/59452/486942a66ecb757a883a76adfe5e3bb6.jpg
