наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Пальто Артикул: 1324;Трикотажное двухслойное пальто миди прямого силуэта. Пальто с объемным воротом апаш, цельнокроеные рукава реглан 3/4 с манжетами, модель с поясом. Такое пальто, это стильный и актуальный элемент  женского гардероба. Дайте свободу своей фантазии, добавьте в свой гардероб более ярких и насыщенных тонов с Мари-Лайн. Состав: вискоза 50%  п/э 45%  эластан 5%;1500 руб.;13;http://www.mari-line.com/catalog/sale/3656;http://www.mari-line.com/upload/resize_cache/iblock/1d6/499_753_2/1d6481e084da2b7a1d58de4cad634674.jpg http://www.mari-line.com/upload/resize_cache/iblock/68d/499_753_2/68dda1d52d3ecb222f72d01fb8303ddc.jpg http://www.mari-line.com/upload/resize_cache/iblock/9f5/499_753_2/9f590305255c6d64871861212f75a83e.jpg ;42
Платье Артикул: 1549 м.волна;Платье-футляр миди из трикотажа, приталенного силуэта. Горловина с округлым вырезом, рукав реглан 3/4, декорирован драпировкой. Застежка по спинке на молнию. Вам не нужно подбирать верх и низ образа, думать о том, как выбранные вещи и цвета будут сочетаться между собой, это платье заменит все. Роскошный образ для разных сфер деятельности. Состав: вискоза 75%  п/э 20%  лайкра 5%;900 руб.;13;http://www.mari-line.com/catalog/sale/5280;http://www.mari-line.com/upload/resize_cache/iblock/f38/499_753_2/f3819ca647f4ed308e8f07cf20a92870.jpg http://www.mari-line.com/upload/resize_cache/iblock/120/499_753_2/12039af2c89b9f070b892a617f888052.jpg ;44
Платье Артикул: 1549 коралл;Платье-футляр миди из трикотажа, приталенного силуэта. Горловина с округлым вырезом, рукав реглан 3/4, декорирован драпировкой. Застежка по спинке на молнию. Вам не нужно подбирать верх и низ образа, думать о том, как выбранные вещи и цвета будут сочетаться между собой, это платье заменит все. Роскошный образ для разных сфер деятельности. Состав: вискоза 75%  п/э 20%  лайкра 5%;900 руб.;13;http://www.mari-line.com/catalog/sale/5281;http://www.mari-line.com/upload/resize_cache/iblock/d7d/499_753_2/d7d2b0712b9159f6f18e5451c7edd354.jpg http://www.mari-line.com/upload/resize_cache/iblock/713/499_753_2/713c2cbbe29935dd9c75cf53a5d622a1.jpg ;44
Платье Артикул: 1423 геометрия;Платье миди прямого силуэта из крепа. Горловина с округлым вырезом, переходящая по спинке в вырез-капельку на завязке, втачные рукава 3/4. Низ платья декорирован плиссе из шифона. Отделка окантовкой, без подкладки, без застежки. Роскошь и женственность дарят платья с плиссированным декором, которые может носить любая женщина, подчеркивая этим свою красоту и сексуальность. Состав: вискоза 55% п/э 40% эластан 5%;900 руб.;13;http://www.mari-line.com/catalog/sale/5387;http://www.mari-line.com/upload/resize_cache/iblock/7ea/499_753_2/7eae21899b49a1b842e900cf3490519a.jpg http://www.mari-line.com/upload/resize_cache/iblock/d21/499_753_2/d218fcb1a6db23471a31eb824f9ad031.jpg http://www.mari-line.com/upload/resize_cache/iblock/8dd/499_753_2/8dd0e945a267472562d669540eec5b75.jpg ;46
Платье Артикул: 1423 принт;Платье из крепа миди, прямого силуэта. Горловина с округлым вырезом, переходящая по спинке в капельку на завязке, втачные рукава 3/4. Низ платья декорирован плиссе из шифона. Отделка окантовкой, без подкладки, без застежки. Роскошь и женственность дарят платья с плиссированным декором, которые может носить любая женщина, подчеркивая этим свою красоту. Состав: вискоза 55% п/э 40% эластан 5%;900 руб.;13;http://www.mari-line.com/catalog/sale/5405;http://www.mari-line.com/upload/resize_cache/iblock/652/499_753_2/6528f315026fb256e26b84b044326e4e.jpg http://www.mari-line.com/upload/resize_cache/iblock/dd4/499_753_2/dd4047af86273debf230fdf5d85b3980.jpg http://www.mari-line.com/upload/resize_cache/iblock/0fe/499_753_2/0fe275b3b395aa8d4845d665960b4c81.jpg ;46
Платье Артикул: 1481;Платье из трикотажа, миди, свободный верх и прилегающий низ. Округлый вырез горловины обработан окантовкой, втачные объемные из шифона рукава на высоких манжетах с декоративными разрезами. Заниженная линия талии на резинке, лиф с напуском. Без застежки, юбка на подкладке. Идеальный вариант как для повседневных, так и торжественных образов. Необычное дизайнерское решение создает модный и стильный наряд. Состав: вискоза 30%  п/э 65% лайкра 5%;1000 руб.;13;http://www.mari-line.com/catalog/sale/5626;http://www.mari-line.com/upload/resize_cache/iblock/8d1/499_753_2/8d1f8330cb8337710b04f26f1cc8e82e.jpg http://www.mari-line.com/upload/resize_cache/iblock/a4c/499_753_2/a4c3363cb4967f237b5cb22a5037b746.jpg ;"46; 50"
Брюки Артикул: 1490 брюки;"Брюки прямого кроя из тонкой костюмной ткани ""в полоску"". Стилизованы под мужские итальянские. Гульфик на молнии и пуговице, средняя посадка. Женские брюки давно превратились в полноправную составляющую строгого офисного стиля, а также оригинальную деталь ансамбля для создания повседневного образа. Состав: вискоза 50%  п/э 45%  эластан 5%";900 руб.;13;http://www.mari-line.com/catalog/sale/5138;http://www.mari-line.com/upload/resize_cache/iblock/3e7/499_753_2/3e791de13481aae3fe86007566525493.jpg http://www.mari-line.com/upload/resize_cache/iblock/460/499_753_2/46010e2f18a6d50e4a2256ba3998e7f0.jpg ;"50; 52"
Брюки Артикул: 1246 графит;Брюки из трикотажа, застроченные спереди и сзади. Классика, над которой не властно ни время, ни капризы переменчивой моды. Брюки снова попали в топ модных трендов, они могут составить прекрасную пару верхней одежде, удлиненным свитерам, жакетам, блузкам и рубашкам, благодаря чему такие наряды применимы как к повседневным, так и к деловым образам. Состав: вискоза 50%  п/э 45%  эластан 5%;1100 руб.;13;http://www.mari-line.com/catalog/sale/5793;http://www.mari-line.com/upload/resize_cache/iblock/9be/499_753_2/9be19c6aa0163b1618257510d3e0d1ac.jpg http://www.mari-line.com/upload/resize_cache/iblock/8a1/499_753_2/8a138ce2a5dfbe321e221289c2d11bec.jpg http://www.mari-line.com/upload/resize_cache/iblock/ae4/499_753_2/ae4fd33c1bda9ce1b92eb9b61d30a8bc.jpg ;58
Юбка Артикул: 1209 коричн;Трикотажная юбка миди, прямого силуэта декорирована рельефными швами. Застежка на молнию сзади, по низу шлица. Юбка-футляр позволяет своей обладательнице выглядеть очень привлекательно и стильно, помогает подчеркнуть достоинства фигуры и создать неповторимый образ. Состав: п/э 97% эластан 3%;500 руб.;13;http://www.mari-line.com/catalog/sale/5120;http://www.mari-line.com/upload/resize_cache/iblock/fa3/499_753_2/fa33889a0d9db24a726e5315a09b3658.jpg http://www.mari-line.com/upload/resize_cache/iblock/fe5/499_753_2/fe585498a05304f79d9a86844dc6a233.jpg http://www.mari-line.com/upload/resize_cache/iblock/bde/499_753_2/bde800ac4d55671a65cab9cacb872587.jpg ;"44; 46; 48; 50"
Платье Артикул: 1330 розовый;Платье из костюмной ткани А-силуэта. Модель с округлым вырезом горловины, втачной короткий рукав, рельефные швы с заложенными удобными карманами. Такое платье прекрасно вписываются в офисный стиль. Состав: вискоза 30%  п/э 65% лайкра 5%;1500 руб.;13;http://www.mari-line.com/catalog/sale/3458;http://www.mari-line.com/upload/resize_cache/iblock/2cb/499_753_2/2cb72e2c1861cef4b896d016fb4a5825.jpg http://www.mari-line.com/upload/resize_cache/iblock/ac7/499_753_2/ac7e198670201207ed7f8b2cd190a133.jpg ;"52; 58; 60; 62"
Платье Артикул: 1411 синий;Штапельное платье миди прямого силуэта с поясом. Округлый вырез горловины, кокетка по переду и спинке, спущенная пройма, рукав 7/8, декорирован складками в области плеча и патой. В этом платье женщины получают возможность максимально полно отразить свою природную сущность, подчеркнув естественную грацию линий. Состав: вискоза 75% п/э 20% лайкра 5%;1100 руб.;13;http://www.mari-line.com/catalog/sale/4491;http://www.mari-line.com/upload/resize_cache/iblock/84b/499_753_2/84bbc6f24ba42ad7d2d8e164b132f5fd.jpg http://www.mari-line.com/upload/resize_cache/iblock/539/499_753_2/539e8bf75eb38450c06f049f3c2b4699.jpg http://www.mari-line.com/upload/resize_cache/iblock/474/499_753_2/4748d41a5de21b2a77b32cb848ea051d.jpg ;"46; 50"
Платье Артикул: 1411 бирюза;Штапельное платье миди прямого силуэта с поясом. Округлый вырез горловины, кокетка по переду и спинке, спущенная пройма, рукав 7/8, декорирован складками в области плеча и патой. В этом платье женщины получают возможность максимально полно отразить свою природную сущность, подчеркнув естественную грацию линий. Состав: вискоза 75% п/э 20% лайкра 5%;1100 руб.;13;http://www.mari-line.com/catalog/sale/4492;http://www.mari-line.com/upload/resize_cache/iblock/e1f/499_753_2/e1f346f31046763defa92612e4e7a513.jpg http://www.mari-line.com/upload/resize_cache/iblock/a6a/499_753_2/a6ac67056d8b1741d6ddc1c6a0f2f65b.jpg http://www.mari-line.com/upload/resize_cache/iblock/a80/499_753_2/a80d80f0f1678e36bf8016f07a3bc856.jpg ;"48; 52; 54"
Платье Артикул: 1474 принт;Платье миди из крепа прямого силуэта оригинальной комбинации. Округлый вырез горловины с внутренней обтачкой, рукав-реглан 3/4, отрезное по линии бедра, комбинированно тканью компаньоном. Такое платье позволяет не только выглядеть стильно, но также чувствовать себя комфортно в любой ситуации. Состав: вискоза 55%  п/э 40% лайкра 5%;1200 руб.;13;http://www.mari-line.com/catalog/sale/4882;http://www.mari-line.com/upload/resize_cache/iblock/765/499_753_2/7651ba5d18ac3287517a33081e41eab9.jpg http://www.mari-line.com/upload/resize_cache/iblock/08c/499_753_2/08cc0821464e701c3db8de70b1d477a1.jpg ;"54; 62"
Платье Артикул: 1371 красный;Трикотажное платье миди, прямого силуэта. Горловина с округлым вырезом, рельефные швы по периметру платья, втачные рукав 3/4, по низу отрезной ассиметричный элемент с декором из пуговиц. Платья прямого силуэта в ярких тонах  неотъемлемая часть гардероба в этом сезоне. Состав: вискоза 75%  п/э 20%  лайкра 5%;1200 руб.;13;http://www.mari-line.com/catalog/sale/5041;http://www.mari-line.com/upload/resize_cache/iblock/cf5/499_753_2/cf56e4159c89cf9c92bb118e2a5e0da9.jpg http://www.mari-line.com/upload/resize_cache/iblock/a8a/499_753_2/a8afd6dfe09a18d74cb3163e073806ee.jpg http://www.mari-line.com/upload/resize_cache/iblock/5a0/499_753_2/5a0d94eb08d3e610d595fdfd80b89c5f.jpg ;"50; 52; 54"
Платье Артикул: 1371 синий;Трикотажное платье миди, прямого силуэта. Горловина с округлым вырезом, рельефные швы по периметру платья, втачные рукав 3/4, по низу отрезной ассиметричный элемент с декором из пуговиц. Платья прямого силуэта в ярких тонах  неотъемлемая часть гардероба в этом сезоне. Состав: вискоза 75%  п/э 20%  лайкра 5%;1200 руб.;13;http://www.mari-line.com/catalog/sale/5042;http://www.mari-line.com/upload/resize_cache/iblock/e76/499_753_2/e76c1e244d9dcd93451db0ed2ff7c79d.jpg http://www.mari-line.com/upload/resize_cache/iblock/a75/499_753_2/a7575356caf938060cf5bf90d3850c6f.jpg http://www.mari-line.com/upload/resize_cache/iblock/853/499_753_2/8530cf9839335cb4cd20892b3a9b6ac6.jpg ;50
Платье Артикул: 1500 лазурь;"Трикотажное платье миди, прямого силуэта. Горловина с округлым вырезом, цельнокроеные рукава ""летучая мышь"" 3/4 с манжетами, отрезной элемент по низу платья. Модель декорирована клепом и рельефными швами с карманами. Такой фасон считается весьма привлекательным для тех, кто привык к свободе движения и строгим линиям. Состав: вискоза 75%  п/э 20%  лайкра 5%";1000 руб.;13;http://www.mari-line.com/catalog/sale/5086;http://www.mari-line.com/upload/resize_cache/iblock/97e/499_753_2/97edb2b1b4206d576a1a296e6313d076.jpg http://www.mari-line.com/upload/resize_cache/iblock/8e7/499_753_2/8e773656f1255d9423906a00e50cef29.jpg ;44
