наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Майка K&R BABY;"Состав: хлопок 100%; Цвет: малиновый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0037;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0037-330x330.jpg;92
Майка K&R BABY;"Состав: хлопок 100%; Цвет: фиолетовый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0041;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0041-330x330.jpg;92
Майка K&R BABY;"Состав: хлопок 100%; Цвет: розовый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0040;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0040-330x330.jpg;92
Брюки для девочки;"Состав: хлопок 100%; Цвет: серый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0855;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0855-330x330.jpg;"62;68;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: коралловый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0854;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0854-330x330.jpg;"62;74;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: васильковый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0853;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0853-330x330.jpg;"68;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: оранжевый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0852;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0852-330x330.jpg;68
Брюки для девочки;"Состав: хлопок 100%; Цвет: красный; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0851;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0851-330x330.jpg;"62;80;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: голубой; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0850;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0850-330x330.jpg;62
Брюки для девочки;"Состав: хлопок 100%; Цвет: зелёный; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0849;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0849-330x330.jpg;"68;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: жёлтый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0848;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0848-330x330.jpg;"68;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: васильковый; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0846;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0846-330x330.jpg;74
Брюки детские;"Состав: хлопок 100%; Цвет: серый; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0845;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0845-330x330.jpg;"68;74;92"
Брюки детские;"Состав: хлопок 100%; Цвет: голубой; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0844;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0844-330x330.jpg;"68;80;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: сапфировый; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0843;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0843-330x330.jpg;"68;80;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: красный; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/kids/UZ0842;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0842-330x330.jpg;"62;68;74;80;92"
