наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Кардиган для мальчиков BONITO;"Состав: хлопок 95%, лайкра 5%; Цвет: васильковый; плотный трикотаж интерлок";380,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0519;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0519-330x330.jpg;122
Кардиган для мальчиков BONITO;"Состав: хлопок 95%, лайкра 5%; Цвет: бордовый; плотный трикотаж интерлок";320,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0518;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0518-330x330.jpg;146
Футболка для мальчика 9-12 Asadik;"Состав: хлопок 100%; Цвет: сапфировый, Coast is Coast; Ткань: кулирка.";105,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/AS0071;http://vasilek-omsk.ru/image/cache/data/UZ/ASADIK/AS0071-330x330.jpg;12
Брюки для мальчика 3-7 Sladik Mladik;"Состав: хлопок 100%; Цвет: деним; Состав: хлопок- 100%.  Точные замеры данной модели: размер 3: длина- 56см, ширина по бёдрам- 32см; размер 4: длина- 60см, ширина по бёдрам- 34см; размер 5: длина- 65см, ширина по бёдрам- 35см; размер 6: длина- 69см, ширина по бёдрам- 37см;  размер 7: длина- 73см, ширина по бёдрам- 38см.";198,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/SM0264;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0264-330x330.jpg;5
Брюки детские;"Состав: хлопок 100%; Цвет: голубой; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0844;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0844-330x330.jpg;"68;80;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: сапфировый; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0843;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0843-330x330.jpg;"68;80;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: красный; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/kids/UZ0842;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0842-330x330.jpg;"62;68;74;80;92"
Джемпер для мальчика BONITO;"Состав: хлопок 100%; Цвет: полоска, бирюзовый; Ткань: селаник.";336,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON1195;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1195-330x330.jpg;"98;104;110;116;122"
Джемпер для мальчика BONITO;"Состав: хлопок 100%; Цвет: полоска, хаки; Ткань: селаник.";336,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON1194;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1194-330x330.jpg;"98;104;110;116;122"
Джемпер для мальчика BONITO;"Состав: хлопок 100%; Цвет: полоска, коричневый; Ткань: селаник.";336,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON1193;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1193-330x330.jpg;"98;104;110;116;122"
