наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Трусы женские;"Состав: хлопок 100%; Цвет: белый; Состав: хлопок 100%.";60,00;13;http://vasilek-omsk.ru/novinki/8353;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8353-330x330.jpg;50-52
Трусы женские;"Состав: хлопок 100%; Цвет: микс; Состав: хлопок 100%.";60,00;13;http://vasilek-omsk.ru/novinki/6638;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6638-330x330.jpg;54-56
Бюстгалтер - бра;"Состав: полиэстер 100%; Цвет: бежевый; Состав: полиэстер 100%. Чашка размер- А.";200,00;13;http://vasilek-omsk.ru/novinki/8819-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/8819-B-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: розовый; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-N;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-N-330x330.jpg;"42-44;44-46"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: ярко-розовый; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-M;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-M-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: каппучино; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-K;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-K-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: фиолетовый; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-H;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-H-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: ментоловый; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-G;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-G-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: красный; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-D;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-D-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: белый; Состав: бамбук 92%, спандекс 8%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";62,00;13;http://vasilek-omsk.ru/novinki/3811-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/3811-B-330x330.jpg;44-46
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: бежевый, узор огурцы; Состав: бамбук 92%, спандекс 8%.";74,00;13;http://vasilek-omsk.ru/novinki/993-M;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/993-M-330x330.jpg;"48-50;50-52;52-54"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: коралловый, узор огурцы; Состав: бамбук 92%, спандекс 8%.";74,00;13;http://vasilek-omsk.ru/novinki/993-K;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/993-K-330x330.jpg;"48-50;50-52;52-54"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: красный, узор огурцы; Состав: бамбук 92%, спандекс 8%.";74,00;13;http://vasilek-omsk.ru/novinki/993-G;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/993-G-330x330.jpg;"48-50;50-52;52-54"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: фиолетовый,узор огурцы; Состав: бамбук 92%, спандекс 8%.";74,00;13;http://vasilek-omsk.ru/novinki/993-C;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/993-C-330x330.jpg;"48-50;50-52;52-54"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: чёрный, узор огурцы; Состав: бамбук 92%, спандекс 8%.";74,00;13;http://vasilek-omsk.ru/novinki/993-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/993-B-330x330.jpg;"48-50;50-52;52-54"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: белый, узор огурцы; Состав: бамбук 92%, спандекс 8%.";74,00;13;http://vasilek-omsk.ru/novinki/993-A;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/993-A-330x330.jpg;"48-50;50-52;52-54"
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: бордовый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5132-D;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5132-D-330x330.jpg;44-46
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: белый, микс; Состав: хлопок 80%, спандекс 20%. Рисунок может отличаться.";45,00;13;http://vasilek-omsk.ru/novinki/5132-C;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5132-C-330x330.jpg;"44-46;46-48"
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: т.серый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5132-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5132-B-330x330.jpg;44-46
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: розовый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5132-A;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5132-A-330x330.jpg;46-48
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: бордовый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-G;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-G-330x330.jpg;44-46
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: т.серый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-F;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-F-330x330.jpg;44-46
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: лиловый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-E;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-E-330x330.jpg;"44-46;46-48"
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: кремовый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-D;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-D-330x330.jpg;"44-46;46-48"
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: розовый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-C;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-C-330x330.jpg;44-46
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: белый; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-B-330x330.jpg;"44-46;46-48"
Трусы женские;"Состав: хлопок 80%, спандекс 20%; Цвет: чёрный; Состав: хлопок 80%, спандекс 20%.";45,00;13;http://vasilek-omsk.ru/novinki/5131-A;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/5131-A-330x330.jpg;44-46
Трусы женские;"Состав: хлопок 95%, спандекс 5%; Цвет: красный; Состав: хлопок 95%, спандекс 5%.   Соответствие размеров: Размер xl: 42-44; размер 2xl: 44-46; размер 3xl: 46-48.";58,00;13;http://vasilek-omsk.ru/novinki/1765-C;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/1765-C-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: синий; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-N;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-N-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: бежевый; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-G;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-G-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: какао; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-F;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-F-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: бордовый; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-E;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-E-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: белый; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-C;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-C-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: чёрный; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-B-330x330.jpg;42-44
Трусы женские;"Состав: хлопок 92%, спандекс 8%; Цвет: красный; Состав: хлопок 92%, спандекс 8%.";58,00;13;http://vasilek-omsk.ru/novinki/6881-A;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/6881-A-330x330.jpg;42-44
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: кремовый; Состав: бамбук 92%, спандекс 8%. МАЛОМЕРЯТ.";74,00;13;http://vasilek-omsk.ru/novinki/8031-A;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8031-A-1-330x330.jpg;"50-52;54-56"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: жёлтый; Состав: бамбук 92%, спандекс 8%. МАЛОМЕРЯТ.";74,00;13;http://vasilek-omsk.ru/novinki/8031-F;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8031-F-330x330.jpg;"50-52;52-54;54-56"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: изумрудный; Состав: бамбук 92%, спандекс 8%. МАЛОМЕРЯТ.";74,00;13;http://vasilek-omsk.ru/novinki/8031-C;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8031-C-330x330.jpg;"50-52;52-54"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: розовый; Состав: бамбук 92%, спандекс 8%. МАЛОМЕРЯТ.";74,00;13;http://vasilek-omsk.ru/novinki/8031-H;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8031-H-330x330.jpg;"50-52;52-54;54-56"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: красный; Состав: бамбук 92%, спандекс 8%. МАЛОМЕРЯТ.";74,00;13;http://vasilek-omsk.ru/novinki/8031-K;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8031-K-330x330.jpg;"50-52;52-54;54-56"
Трусы женские;"Состав: бамбук 92%, спандекс 8%; Цвет: серый; Состав: бамбук 92%, спандекс 8%. МАЛОМЕРЯТ.";74,00;13;http://vasilek-omsk.ru/novinki/8031-B;http://vasilek-omsk.ru/image/cache/data/zhenskaya-odezh/trusy/8031-B-330x330.jpg;"50-52;52-54;54-56"
Трусы мужские;"Состав: хлопок 100%; Цвет: микс; Состав: хлопок 100%.";55,00;13;http://vasilek-omsk.ru/novinki/T-0003;http://vasilek-omsk.ru/image/cache/data/MUZHSKOE/Trusy/T-0003-330x330.jpg;"48-50;56-58"
Трусы мужские ДОМИНО;"Состав: хлопок 95%, эластан 5%; Цвет: микс; Состав: хлопок 95%, эластан 5%.";75,00;13;http://vasilek-omsk.ru/muzh-odezh-vasil/5015;http://vasilek-omsk.ru/image/cache/data/MUZHSKOE/Trusy/5015-1-330x330.jpg;"52-54;54-56"
