наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Майка K&R BABY;"Состав: хлопок 100%; Цвет: малиновый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0037;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0037-330x330.jpg;92
Майка K&R BABY;"Состав: хлопок 100%; Цвет: фиолетовый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0041;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0041-330x330.jpg;92
Кардиган для мальчиков BONITO;"Состав: хлопок 95%, лайкра 5%; Цвет: васильковый; плотный трикотаж интерлок";380,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0519;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0519-330x330.jpg;122
Кардиган для мальчиков BONITO;"Состав: хлопок 95%, лайкра 5%; Цвет: бордовый; плотный трикотаж интерлок";320,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0518;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0518-330x330.jpg;146
Майка K&R BABY;"Состав: хлопок 100%; Цвет: розовый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0040;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0040-330x330.jpg;92
Носки мужские махровые Омские;"Состав: верблюжья шерсть 30%; Цвет: микс; состав: верблюжья шерсть 30%, хлопок 68%, эластан 2%.";38,00;13;http://vasilek-omsk.ru/Noski/NM0003;http://vasilek-omsk.ru/image/cache/data/NOSKY/muzh/NM0003-330x330.jpg;
Носки женские махровые Омские;"Состав: шерсть 50%, бамбук 47%; Цвет: микс; состав: верблюжья шерсть 50%, бамбук 47%, эластан 3%.  размер универс. 36-40";38,00;13;http://vasilek-omsk.ru/Noski/NZ0001;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0001-1-330x330.jpg;
Брюки для девочки;"Состав: хлопок 100%; Цвет: серый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0855;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0855-330x330.jpg;"62;68;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: коралловый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0854;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0854-330x330.jpg;"62;74;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: васильковый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0853;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0853-330x330.jpg;"68;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: красный; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0851;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0851-330x330.jpg;"62;80;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: зелёный; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0849;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0849-330x330.jpg;"68;80;92;98"
Брюки для девочки;"Состав: хлопок 100%; Цвет: жёлтый; Ткань: интерлок. Аппликация выполнена из термостраз. Цвет резинки и манжет может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 43см, ширина по бёдрам- 33см;  рост 80: длина- 46см, ширина по бёдрам- 34см;  рост 92: длина- 51см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0848;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0848-330x330.jpg;"68;92;98"
Трусы мужские;"Состав: хлопок 100%; Цвет: микс; Состав: хлопок 100%.";55,00;13;http://vasilek-omsk.ru/novinki/T-0003;http://vasilek-omsk.ru/image/cache/data/MUZHSKOE/Trusy/T-0003-330x330.jpg;"48-50;56-58"
Брюки детские;"Состав: хлопок 100%; Цвет: серый; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0845;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0845-330x330.jpg;"68;74;92"
Брюки детские;"Состав: хлопок 100%; Цвет: голубой; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0844;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0844-330x330.jpg;"68;80;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: сапфировый; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0843;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0843-330x330.jpg;"68;80;92;98"
Брюки детские;"Состав: хлопок 100%; Цвет: красный; Ткань: интерлок. Рисунок термонаклейки может отличаться.  Точные замеры данной модели:  рост 62: длина- 35см, ширина по бёдрам- 28см;  рост 68: длина- 40см, ширина по бёдрам- 29см;  рост 74: длина- 44см, ширина по бёдрам- 33см;  рост 80: длина- 47см, ширина по бёдрам- 34см;  рост 92: длина- 52см, ширина по бёдрам- 35см;  рост 98: длина- 56см, ширина по бёдрам- 36см.";105,00;13;http://vasilek-omsk.ru/kids/UZ0842;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0842-330x330.jpg;"62;68;74;80;92"
Джемпер для мальчика BONITO;"Состав: хлопок 100%; Цвет: полоска, бирюзовый; Ткань: селаник.";336,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON1195;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1195-330x330.jpg;"98;104;110;116;122"
Джемпер для мальчика BONITO;"Состав: хлопок 100%; Цвет: полоска, хаки; Ткань: селаник.";336,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON1194;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1194-330x330.jpg;"98;104;110;116;122"
Джемпер для мальчика BONITO;"Состав: хлопок 100%; Цвет: полоска, коричневый; Ткань: селаник.";336,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON1193;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1193-330x330.jpg;"98;104;110;116;122"
