наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Майка K&R BABY;"Состав: хлопок 100%; Цвет: малиновый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0037;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0037-330x330.jpg;92
Майка K&R BABY;"Состав: хлопок 100%; Цвет: фиолетовый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0041;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0041-330x330.jpg;92
Кардиган для мальчиков BONITO;"Состав: хлопок 95%, лайкра 5%; Цвет: бордовый; плотный трикотаж интерлок";320,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0518;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0518-330x330.jpg;146
Майка K&R BABY;"Состав: хлопок 100%; Цвет: розовый; кулирка";90,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0040;http://vasilek-omsk.ru/image/cache/data/Mighty tiger/KR0040-330x330.jpg;92
Футболка для девочки 1-4 Baby Style;"Состав: хлопок 100%; Цвет: розовый, мороженное; Ткань: кулир. Качество плотное.";75,00;13;http://vasilek-omsk.ru/devochki-odezhda/BS0037;http://vasilek-omsk.ru/image/cache/data/UZ/BS/BS0037-330x330.jpg;"1;2;3;4"
Шорты Зайчонок 5-8;"Состав: хлопок 100%; Цвет: коралловый, слон; Ткань: кулирка.  Замеры данной модели: размер 5: длина- 28, обхват бедер- 35см; размер 6: длина- 30, обхват бедер- 36см; размер 7: длина- 32, обхват бедер- 37см; размер 8: длина- 35, обхват бедер- 41см.";85,00;13;http://vasilek-omsk.ru/devochki-odezhda/Z0092;http://vasilek-omsk.ru/image/cache/data/Zaychonok/Z0092-330x330.jpg;"5;6;7;8"
Кофта AMELIA;"Состав: хлопок 100%; Цвет: горчичный, мяч; Плотный трикотаж интерлок. Соответствие росту 86, 92, 98, 104.";95,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/A0057;http://vasilek-omsk.ru/image/cache/data/AMELIA/A0057-330x330.jpg;1
Костюм для девочки 3-7;"Состав: хлопок 100%; Цвет: коралловый, кошка; Ткань: кулирка.";135,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0496;http://vasilek-omsk.ru/image/cache/data/UZ/UZ0496-330x330.jpg;"4;5;6;7"
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: красный, смешарики; Ткань: кулир. Качество плотное.";75,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0493;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0493-330x330.jpg;1
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: лососевый, смешарики; Ткань: кулир. Качество плотное.";75,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0491;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0491-330x330.jpg;1
Футболка для девочки 1-4 UZCO;"Состав: хлопок 100%; Цвет: сиреневый, смешарики; Ткань: кулир. Качество плотное.";75,00;13;http://vasilek-omsk.ru/devochki-odezhda/UZ0489;http://vasilek-omsk.ru/image/cache/data/UZ/UZCO/UZ0489-330x330.jpg;1
Шорты Зайчонок 5-8;"Состав: хлопок 100%; Цвет: оранжевый, мишка; Ткань: кулирка.  Замеры данной модели: размер 5: длина- 28, обхват бедер- 35см; размер 6: длина- 30, обхват бедер- 36см; размер 7: длина- 32, обхват бедер- 37см; размер 8: длина- 35, обхват бедер- 41см.";85,00;13;http://vasilek-omsk.ru/devochki-odezhda/Z0082;http://vasilek-omsk.ru/image/cache/data/Zaychonok/Z0082-330x330.jpg;"6;7;8"
Шорты Зайчонок 5-8;"Состав: хлопок 100%; Цвет: розовый, корона; Ткань: кулирка.  Замеры данной модели: размер 5: длина- 28, обхват бедер- 35см; размер 6: длина- 30, обхват бедер- 36см; размер 7: длина- 32, обхват бедер- 37см; размер 8: длина- 35, обхват бедер- 41см.";85,00;13;http://vasilek-omsk.ru/devochki-odezhda/Z0081;http://vasilek-omsk.ru/image/cache/data/Zaychonok/Z0081-330x330.jpg;"5;6;7;8"
Шорты для девочки BONITO 4-8;"Состав: хлопок 100%; Цвет: зеленый, любава; Ткань: кулирка.  Замеры данной модели: размер 4: длина- 33, обхват бедер- 35см; размер 5: длина- 34, обхват бедер- 37см; размер 6: длина- 35, обхват бедер- 38см; размер 7: длина- 36, обхват бедер- 40см; размер 8: длина- 38, обхват бедер- 43см.";87,00;13;http://vasilek-omsk.ru/devochki-odezhda/BON1070;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1070-330x330.jpg;"4;5;6;7;8"
Костюм для мальчика TAKRO;"Состав: хлопок 100%; Цвет: серый, обезьянка; Ткань: интерлок.";360,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/TAK0054;http://vasilek-omsk.ru/image/cache/data/TAKRO/TAK0054-330x330.jpg;5
Футболка c приколом Bonito;"Состав: хлопок 100%; Цвет: синий,  ""лучший друг""; Ткань: кулирка.";77,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0252;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0252-330x330.jpg;8
Костюм для девочки SladikMladik;"Состав: хлопок 100%; Цвет: малиновый; Ткань: футер петельчатый. Маломерят.";450,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0165;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0165-1-330x330.jpg;2
Платье BONITO;"Состав: хлопок 100%; Цвет: горчичный; Ткань: интерлок.";299,00;13;http://vasilek-omsk.ru/devochki-odezhda/BON1010;http://vasilek-omsk.ru/image/cache/data/BONITO/bon17/BON1010-330x330.jpg;104
Футболка 1-4 Mexrimax kids;"Состав: хлопок 100%; Цвет: серый, герои в масках; Ткань: кулирка.";60,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/MEX0010;http://vasilek-omsk.ru/image/cache/data/MEX_RIMAX/MEX0010-330x330.jpg;1
Футболка Mexrimax kids;"Состав: хлопок 100%; Цвет: голубой, покемоны; Ткань: кулирка.";60,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/MEX0005;http://vasilek-omsk.ru/image/cache/data/MEX_RIMAX/MEX0005-330x330.jpg;1
Пижама  K&R BABY;"Состав: хлопок 100%; Цвет: салатовый, сердце; плотный трикотаж интерлок";240,00;13;http://vasilek-omsk.ru/devochki-odezhda/KR0109;http://vasilek-omsk.ru/image/cache/data/KR-baby/KR0109-330x330.jpg;"110;116;122;128"
Пижама Sladik Mladik;"Состав: хлопок 100%; Цвет: красный,синий, жираф; интерлок - плотный трикотаж,";200,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/SM0098;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0098-330x330.jpg;"1;2"
Пижама Sladik Mladik;"Состав: хлопок 100%; Цвет: малиновый, барашек; интерлок - плотный трикотаж,";200,00;13;http://vasilek-omsk.ru/devochki-odezhda/SM0093;http://vasilek-omsk.ru/image/cache/data/SladikMladik/SM0093-330x330.jpg;"1;2;4"
Брюки Медвежонок;"Состав: хлопок 100%; Цвет: ультрамарин, байкер; теплый трикотаж- футер";160,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/M0230;http://vasilek-omsk.ru/image/cache/data/MEDVEZHONOK/M0230-330x330.jpg;1
Брюки Медвежонок;"Состав: хлопок 100%; Цвет: серый, пират; теплый трикотаж- футер";160,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/M0225;http://vasilek-omsk.ru/image/cache/data/MEDVEZHONOK/M0225-330x330.jpg;1
Брюки Медвежонок;"Состав: хлопок 100%; Цвет: красный, пират; теплый трикотаж- футер";160,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/M0224;http://vasilek-omsk.ru/image/cache/data/MEDVEZHONOK/M0224-330x330.jpg;1
Костюм для мальчика Медвежонок;"Состав: хлопок 100%; Цвет: салатовый, собака; интерлок";300,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/M0215;http://vasilek-omsk.ru/image/cache/data/MEDVEZHONOK/M0215-330x330.jpg;1
Костюм для мальчика Медвежонок;"Состав: хлопок 100%; Цвет: лев на сером; интерлок";300,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/M0209;http://vasilek-omsk.ru/image/cache/data/MEDVEZHONOK/M0209-330x330.jpg;1
Костюм для мальчика Медвежонок;"Состав: хлопок 100%; Цвет: лиса, желтый; интерлок";300,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/M0207;http://vasilek-omsk.ru/image/cache/data/MEDVEZHONOK/M0207-330x330.jpg;1
Джемпер для девочки Фуси;"Состав: хлопок 100%; Цвет: салатовый,сиреневый,Дора; интерлок";195,00;13;http://vasilek-omsk.ru/devochki-odezhda/F0005;http://vasilek-omsk.ru/image/cache/data/FUSI/F0005-330x330.jpg;"6;7;8"
Футболка батник Bonito;"Состав: хлопок 100%; Цвет: красный; кулирка";180,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/BON0472;http://vasilek-omsk.ru/image/cache/data/BONITO/BON0472-330x330.jpg;"7;8;9;10"
Шорты джинсовые BONITO;"Состав: хлопок 100%; Цвет: желтый; джинса";350,00;13;http://vasilek-omsk.ru/devochki-odezhda/BON0839;http://vasilek-omsk.ru/image/cache/data/BONITO/bon 04/BON0839-330x330.jpg;"5;6;7"
