наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Размер
Колготки для мальчика Ланю-9913;"Состав: хлопок 95%, эластан 5%.; Цвет: микс, мальчик; Cостав: хлопок 95%, эластан 5%. Маломерят на 2 размера.";60,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/K0039;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0019-330x330.jpg;"92-98;98-104;104-116;116-128;140-152"
Колготки для девочки АЛИЯ D-13;"Состав: бамбук 100%; Цвет: микс, девочка; Cостав: бамбук 100%. Маломерят.";60,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0009;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0009-330x330.jpg;"92-104;104-116;116-128;128-140;140-152;152-164"
Колготки для девочки HONGAN 886;"Состав: бамбук 100%; Цвет: микс, девочка; Cостав: бамбук 100%. Маломерят.";80,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0021;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0021-330x330.jpg;"92-104;104-116;116-128;128-140"
Колготки для девочки микрофибра Pesail 62068;"Состав: бамбук 66%, полиамид 30%, эластан 4%; Цвет: белый; Cостав: бамбук 66%, полиамид 30%, эластан 4%.";133,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0038;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0038-330x330.jpg;"5-7 лет;7-9 лет;9-11 лет"
Колготки для девочки ажурные Pesail 643;"Состав: бамбук 85%, хлопок 10%, эластан 5%; Цвет: белый; Cостав: бамбук 85%, хлопок 10%, эластан 5%.";95,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0037;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0037-330x330.jpg;"98-104;104-116;116-128;128-140;140-152;152-164"
Колготки для девочки Sultan 9935;"Состав: хлопок 50%, модал 40%, лайкра 10%; Цвет: микс, Мини Маус; Cостав: ххлопок 50%, модал 40%, лайкра 10%.";144,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0036;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0036-330x330.jpg;"98-104;104-116"
Колготки для девочки Sultan 9931;"Состав: хлопок 50%, модал 40%, лайкра 10%; Цвет: микс, кошка; Cостав: хлопок 50%, модал 40%, лайкра 10%.";158,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0035;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0035-330x330.jpg;"128-140;140-152"
Колготки для девочки Kaerdan 6001;"Состав: бамбук 100%; Цвет: микс, кошка; Cостав: бамбук 100%. Маломерят.";68,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0034;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0034-330x330.jpg;"104-116;152-164"
Колготки для девочки Kaerdan 9901;"Состав: бамбук 100%; Цвет: микс, девочка; Cостав: бамбук 100%. Маломерят.";60,00;13;http://vasilek-omsk.ru/devochki-odezhda/K0033;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0033-330x330.jpg;"92-104;104-116;116-128;128-140;140-152"
Колготки для мальчика Kaerdan 9901;"Состав: бамбук 100%; Цвет: микс, мальчик; Cостав: бамбук 100%. Маломерят.";60,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/K0032;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0032-330x330.jpg;"92-104;104-116;116-128;128-140;140-152;152-164"
Колготки махровые для мальчика Дарья R888;"Состав: хлопок 100%; Цвет: микс, девочка; Cостав: хлопок 100%.  Маломерят.";83,00;13;http://vasilek-omsk.ru/Detskaya-od-malchiki/K0031;http://vasilek-omsk.ru/image/cache/data/Kolgotki/K0031-330x330.jpg;152-164
Колготки для мальчика Шрек;"Состав: хлопок 80%, спандекс 15%; Цвет: микс, мальчик; состав: хлопок 80%, спандекс 15%, эластан 5%.";85,00;13;http://vasilek-omsk.ru/noski-kolgotki/%D0%9A0013;http://vasilek-omsk.ru/image/cache/data/Kolgotki/0013-1-330x330.jpg;140-152
Носки мужские махровые Омские;"Состав: верблюжья шерсть 30%; Цвет: микс; состав: верблюжья шерсть 30%, хлопок 68%, эластан 2%.";38,00;13;http://vasilek-omsk.ru/Noski/NM0003;http://vasilek-omsk.ru/image/cache/data/NOSKY/muzh/NM0003-330x330.jpg;
Носки женские махровые Омские;"Состав: шерсть 50%, бамбук 47%; Цвет: микс; состав: верблюжья шерсть 50%, бамбук 47%, эластан 3%.  размер универс. 36-40";38,00;13;http://vasilek-omsk.ru/Noski/NZ0001;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0001-1-330x330.jpg;
Гольфы детские ажурные;"Состав: бамбук 95%, спандекс 5%; Состав: бамбук 95%, спандекс 5%.";40,00;13;http://vasilek-omsk.ru/Noski/N0023;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0023-330x330.jpg;"S;M;L"
Носки женские Ирина А16-43;"Состав: хлопок 80%, спандекс 15%, полиамид 5%; Цвет: микс, питомцы; Состав: хлопок 80%, спандекс 15%, полиамид 5%.  Размер универс. 37-41.";48,00;13;http://vasilek-omsk.ru/Noski/NZ0032;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0032-330x330.jpg;
Носки женские Лиана Н-636;"Состав: хлопок 90%, полиамид 8%,  лайкра 2%; Цвет: микс, питомцы; Состав: хлопок 90%, полиамид 8%,  лайкра 2%.  Размер универс. 36-41.";48,00;13;http://vasilek-omsk.ru/Noski/NZ0031;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0031-330x330.jpg;
Носки мужские Омские;"Состав: бамбук 95%, эластан 5%; Цвет: микс, рисунок; Состав: бамбук 95%, эластан 5%.  Размер универс: 40-46.";21,00;13;http://vasilek-omsk.ru/Noski/NM0026;http://vasilek-omsk.ru/image/cache/data/NOSKY/muzh/NM0026-330x330.jpg;
Носки мужские Омские;"Состав: хлопок 95%, эластан 5%; Цвет: черный; Состав: хлопок 95%, эластан 5%.  Размер универс: 40-46.";21,00;13;http://vasilek-omsk.ru/Noski/NM0025;http://vasilek-omsk.ru/image/cache/data/NOSKY/muzh/NM0025-330x330.jpg;
Носки детские Kids Basik;"Состав: хлопок 93%, полиамид 5%, эластан 2%; Цвет: микс; Состав: хлопок 93%, полиамид 5%, эластан 2%.  Размер 8-12: длина стопы- 13см.";28,00;13;http://vasilek-omsk.ru/Noski/N0094;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0094-330x330.jpg;8-12
Носки детские Socks;"Состав: хлопок 85%, нейлон 12%, эластан 3%; Цвет: микс; Состав: хлопок 85%, нейлон 12%, эластан 3%.  Размер 22-24: длина стопы- 15см.";28,00;13;http://vasilek-omsk.ru/Noski/N0093;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0093-330x330.jpg;22-24
Носки детские Заря С519;"Состав: хлопок 95%, спандекс 5%; Цвет: микс; Состав: хлопок 95%, спандекс 5%.  Размер 15-20: длина стопы- 13см;  Размер 20-25: длина стопы- 14см;  размер 25-30: длина стопы- 15см;  размер 30-35: длина стопы- 18см.";20,00;13;http://vasilek-omsk.ru/Noski/N0092;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0092-330x330.jpg;"15-20;20-25;25-30;30-35"
Носки женские Омские;"Состав: хлопок 80%, лайкра 15%; Цвет: микс; Состав: хлопок 50%, бамбук 45%,  эластан 5%.  Размер универс. 36-41.";21,00;13;http://vasilek-omsk.ru/Noski/NZ0015;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0015-330x330.jpg;
Носки мужские Ecosocks М-03;"Состав: хлопок 100%; Цвет: черный; Состав: хлопок 100%.  Размер 25: размер обуви 39-40;  размер 27: размер обуви 41-42;  размер 29: размер обуви 43-44;  размер 31: размер обуви 45-46.";14,00;13;http://vasilek-omsk.ru/Noski/NM0019;http://vasilek-omsk.ru/image/cache/data/NOSKY/muzh/NM0019-330x330.jpg;"25;27"
Подследники женские (1уп -10пар);"Состав: полиэстер 95%, лайкра 5%; Цвет: бежевый; Состав: полиэстер 95%,лайкра 5%.";45,00;13;http://vasilek-omsk.ru/index.php?route=product/product&path=46&product_id=7445;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0018-330x330.jpg;
Носки детские Лиза C2003;"Состав: хлопок 80%, полиамид 15%; Цвет: микс, девочка; Состав: хлопок 85%, полиамид 10%, лайкра 5%.  Размер 15-20: длина стопы- 11см;  размер 20-25: длина стопы- 15см;  размер 25-30: длина стопы- 17см.";20,00;13;http://vasilek-omsk.ru/Noski/N0091;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0091-330x330.jpg;"15-20;20-25"
Носки детские Лиза C2007;"Состав: хлопок 80%, полиамид 15%; Цвет: микс, девочка; Состав: хлопок 80%, полиамид 15%, лайкра 5%.  Размер 15-20: длина стопы- 13см;  размер 20-25: длина стопы- 15см;  размер 25-30: длина стопы- 17см.";20,00;13;http://vasilek-omsk.ru/Noski/N0083;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0083-330x330.jpg;"15-20;20-25"
Носки женские Лариса В358;"Состав: хлопок 85%, бамбук 10%; Цвет: микс; Состав: хлопок 85%, бамбук 10%, спандекс 5%.  Размер универс. 36-42.";19,00;13;http://vasilek-omsk.ru/Noski/NZ0016;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0016-330x330.jpg;
Носки женские махровые С-12;"Состав: полушерсть 80%, хлопок 20%; Цвет: микс; Состав: полушерсть 80%, хлопок 20%.  Размер 23: размер обуви 36-37;  размер 25: размер обуви 38-39.";26,00;13;http://vasilek-omsk.ru/Noski/NZ0014;http://vasilek-omsk.ru/image/cache/data/NOSKY/zhenskie/NZ0014-330x330.jpg;23
Носки детские махровые;"Состав: хлопок 85%, п/а 10%; Цвет: микс, мальчик; состав: хлопок 85%, полиамид 10%, эластан 5%.  размер 15-20 (стопа 11см), 20-25 (стопа 13см), 25-30 (стопа 15см).";25,00;13;http://vasilek-omsk.ru/Noski/N0049;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0049-330x330.jpg;15-20
Носки детские махровые;"Состав: хлопок 85%, п/а 10%; Цвет: микс, девочка; состав: хлопок 85%, полиамид 10%, эластан 5%.  размер 15-20 (стопа 12см), 20-25 (стопа 13см), 25-30 (стопа 15см).";25,00;13;http://vasilek-omsk.ru/Noski/N0048;http://vasilek-omsk.ru/image/cache/data/NOSKY/N0048-330x330.jpg;15-20
Комплект шапка и снуд 3-8лет;"Состав: хлопок 95%, лайкра 5%; Цвет: св. серый, BEACH; Ткань: трикотаж, двойная.";270,00;13;http://vasilek-omsk.ru/novinki/SH201;http://vasilek-omsk.ru/image/cache/data/Shapki/SH201-330x330.jpg;
Комплект шапка и снуд 3-8лет;"Состав: хлопок 95%, лайкра 5%; Цвет: св. серый, ""10""; Ткань: трикотаж, двойная.";270,00;13;http://vasilek-omsk.ru/novinki/SH196;http://vasilek-omsk.ru/image/cache/data/Shapki/SH196-330x330.jpg;
Комплект шапка и снуд 3-8лет;"Состав: хлопок 95%, лайкра 5%; Цвет: св. серый, STATE; Ткань: трикотаж, двойная.";270,00;13;http://vasilek-omsk.ru/novinki/SH192;http://vasilek-omsk.ru/image/cache/data/Shapki/SH192-330x330.jpg;
Комплект шапка и снуд 3-8лет;"Состав: хлопок 95%, лайкра 5%; Цвет: св. серый, ""61""; Ткань: трикотаж, двойная.";270,00;13;http://vasilek-omsk.ru/novinki/SH168;http://vasilek-omsk.ru/image/cache/data/Shapki/SH168-330x330.jpg;
Манишка 2-5 лет;"Состав: хлопок 50%, акрил 50%; Цвет: красный; Двухслойная.  Состав: хлопок 50%, акрил 50%.";210,00;13;http://vasilek-omsk.ru/novinki/SH132;http://vasilek-omsk.ru/image/cache/data/Shapki/SH132-330x330.jpg;
Манишка 2-5 лет;"Состав: хлопок 50%, акрил 50%; Цвет: коралловый; Двухслойная.  Состав: хлопок 50%, акрил 50%.";210,00;13;http://vasilek-omsk.ru/novinki/SH128;http://vasilek-omsk.ru/image/cache/data/Shapki/SH128-330x330.jpg;
Манишка 2-5 лет;"Состав: хлопок 50%, акрил 50%; Цвет: светло розовый; Двухслойная.  Состав: хлопок 50%, акрил 50%.";210,00;13;http://vasilek-omsk.ru/novinki/SH127;http://vasilek-omsk.ru/image/cache/data/Shapki/SH127-330x330.jpg;
Комплект шапка и шарф 1-4года;"Состав: хлопок 40%, акрил 60 %; Цвет: темно синий; Вязаные, двойные.   Состав: хлопок 40%, акрил 60%,";365,00;13;http://vasilek-omsk.ru/novinki/SH090;http://vasilek-omsk.ru/image/cache/data/Shapki/SH090-330x330.jpg;
Комплект шапка и шарф 1-4года;"Состав: хлопок 40%, акрил 60 %; Цвет: серый; Вязаные, двойные.   Состав: хлопок 40%, акрил 60%,";365,00;13;http://vasilek-omsk.ru/novinki/SH089;http://vasilek-omsk.ru/image/cache/data/Shapki/SH089-330x330.jpg;
Шапка вязаная 6-15 лет;"Состав: хлопок 40%, акрил 60%; Цвет: красный; Хлопок 40%, акрил 60%. Двойная.";205,00;13;http://vasilek-omsk.ru/novinki/SH077;http://vasilek-omsk.ru/image/cache/data/Shapki/SH077-330x330.jpg;
Шапка вязаная стразы 6-15 лет;"Состав: хлопок 40%, акрил 60%; Цвет: молочный, стразы желтые; хлопок 40%, акрил 60%.";330,00;13;http://vasilek-omsk.ru/novinki/SH015;http://vasilek-omsk.ru/image/cache/data/Shapki/SH015-1-330x330.jpg;
Шапка вязаная стразы 6-15 лет;"Состав: хлопок 40%, акрил 60%; Цвет: розовый, стразы белые; хлопок 40%, акрил 60%.";330,00;13;http://vasilek-omsk.ru/novinki/SH013;http://vasilek-omsk.ru/image/cache/data/Shapki/SH013-330x330.jpg;
