наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;Вес
Конфеты Радость в ладошке со сливочным вкусом 0.2 фас;Это шоколадные конфеты куполообразной формы с нежной начинкой и целым орешком фундуком внутри.;99.04 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848295;https://24-ok.ru/images/lots/2018_lots/04/17/09/30/158180/1199dc7c55b33e294a9f4447b6a41a97.jpeg;200
Конфеты Радость в ладошке со сливочным вкусом 500гр;"Шоколадные конфеты куполообразной формы с молочно-помадной начинкой ""крем-брюле"". Отличаются ярко-выраженным вкусом томленного сгущенного молока с нотками молочной карамели.";238.40 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848294;https://24-ok.ru/images/lots/2018_lots/04/17/09/28/158180/bb9ad9535cc59a3934ecc2466f534414.jpeg;500
Мармелад желейный формовой Краскошино из Фруктошино 0.2 фас;Желейно-формовой мармелад с разнообразным фруктовым ароматом и цветом смесью из трех сортов. Имеет слегка жевательную структуру.;50.80 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848293;https://24-ok.ru/images/lots/2018_lots/04/17/09/24/158180/8cd2d14476897f7780b720e7a422aaef.jpeg;200
Шоколад КРАСКОНОВСКИЙ тёмный (медали) Сердца;"СОСТАВ: сахар, какао тертое, какао-масло, эмульгатор-лецитин; ароматизатор пищевой «Ванилин».";19.69 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848292;https://24-ok.ru/images/lots/2018_lots/04/17/09/22/158180/3faa17b7e2ad3a61a5989d853d65629b.jpeg;0.019
Конфеты Саянские жарки 500гр;Глазированные кондитерской глазурью конфеты с помадным корпусом. Конфеты имеют вкус и аромат абрикоса.;78.03 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848291;https://24-ok.ru/images/lots/2018_lots/04/17/09/20/158180/6c3469df9612b344d7c9dd095500084d.jpeg;500
Конфеты Саянские жарки-вкус зелёного яблока 0.5 фас;Глазированные кондитерской глазурью конфеты с помадным корпусом. Конфеты имеют вкус и аромат зелёного яблока.;78.44 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848290;https://24-ok.ru/images/lots/2018_lots/04/17/09/18/158180/c48619ce9f57928e9eb1f0f5cabf7ac3.jpeg;500
Конфеты Саянские жарки-вкус сгущённого молока 0.5 фас;Глазированные кондитерской глазурью конфеты с помадным корпусом. Конфеты имеют вкус и аромат сгущенного молока.;78.44 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848289;https://24-ok.ru/images/lots/2018_lots/04/17/09/17/158180/fca83004c6ce746c639a16ac778a6f9c.jpeg;500
Конфеты Саянские жарки-вкус шоколада 0.5 фас;Глазированные кондитерской глазурью конфеты с помадным корпусом. Конфеты имеют ярковыраженный шоколадный вкус и аромат.;79.97 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848288;https://24-ok.ru/images/lots/2018_lots/04/17/09/15/158180/334db79934ccc672ee2a0e8b723d12ed.jpeg;500
Конфеты Красконовские 200гр;СОСТАВ: шоколадная глазурь (сахар, какао тертое,  эквивалент масла какао (растительные негидрогенизированные масла:;118.93 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848287;https://24-ok.ru/images/lots/2018_lots/04/17/09/12/158180/c874c0305c7504053a4f4cc40b6dc4eb.jpeg;200
Конфеты Саянале арахисовый 200гр;"Неглазированные конфеты круглого сечения.  Корпус состоит из массы ""пралине"" на кондитерском жире с добавлением молотых вафель.";37.84 ;13;https://24-ok.ru/catalog_new.php?catalog_id=2637994&lot_id=327848286;https://24-ok.ru/images/lots/2018_lots/04/17/09/10/158180/929934eee8fb6ed5ea5c8327063caac0.jpeg;200
